time,state_1,state_2,state_3,state_4,state_5
0,0,0,0,0,0
60,0,0,0,0,0
120,0,0,2,0,0
180,0,0,0,2,0
240,0,0,0,2,0
300,0,0,2,0,0
360,2,0,2,0,0
420,2,0,2,0,0
480,0,3,2,0,0
540,0,3,2,0,0
600,3,0,2,0,0
660,0,0,2,0,0
720,0,0,2,0,0
780,0,0,2,0,1
840,0,0,2,0,1
900,0,0,2,0,1
960,3,0,2,0,2
1020,3,0,2,0,2
1080,3,0,0,0,2
1140,0,0,3,0,2
1200,3,0,0,0,0
1260,3,0,2,0,0
1320,0,0,3,0,0
1380,3,0,0,0,0
1440,0,0,0,0,0
1500,2,0,0,0,0
1560,0,0,0,0,0
1620,3,0,2,0,0
1680,0,0,2,0,0
1740,3,0,2,0,1
1800,3,0,2,0,1
1860,3,0,2,0,2
1920,0,0,2,0,2
1980,0,0,0,0,2
2040,2,0,0,0,0
2100,0,2,0,0,0
2160,0,0,0,0,0
2220,3,0,2,0,0
2280,0,3,2,0,0
2340,0,3,2,0,1
2400,3,0,0,0,1
2460,0,0,2,0,2
2520,3,0,0,0,2
2580,0,0,2,0,0
2640,2,0,2,0,0
2700,2,0,0,0,0
2760,2,0,0,0,0
2820,2,0,0,0,1
2880,0,0,0,0,1
2940,2,0,3,0,1
3000,3,0,2,0,1
3060,0,0,2,0,2
3120,2,0,2,0,2
3180,2,0,0,0,2
3240,0,0,3,0,2
3300,0,0,0,3,2
3360,2,0,3,0,0
3420,0,0,3,0,0
3480,2,0,3,0,0
3540,2,0,3,0,0
3600,2,0,3,0,1
3660,2,0,3,0,1
3720,0,0,3,0,1
3780,2,0,3,0,1
3840,2,0,3,0,1
3900,2,0,3,0,1
3960,2,0,3,0,1
4020,2,0,3,0,1
4080,2,0,3,0,1
4140,3,0,3,0,1
4200,2,0,3,0,1
4260,2,0,0,0,2
4320,2,0,0,0,2
4380,0,3,2,0,2
4440,0,0,2,0,2
4500,2,0,0,0,2
4560,2,0,0,0,2
4620,3,0,2,0,0
4680,0,0,2,0,0
4740,2,0,0,0,0
4800,2,0,0,0,0
4860,2,0,0,0,1
4920,2,0,0,0,1
4980,2,0,0,0,1
5040,2,0,3,0,1
5100,2,0,3,0,1
5160,2,0,3,0,1
5220,2,0,0,0,1
5280,2,0,2,0,2
5340,0,0,2,0,2
5400,0,0,2,0,2
5460,2,0,2,0,2
5520,2,0,0,0,2
5580,0,0,0,0,2
5640,2,0,3,0,2
5700,2,0,3,0,2
5760,2,0,3,0,0
5820,2,0,0,0,0
5880,0,2,2,0,0
5940,0,0,2,0,0
6000,2,0,0,0,0
6060,2,0,0,0,1
6120,2,0,0,0,1
6180,2,0,0,0,1
6240,2,0,0,0,1
6300,3,0,0,0,1
6360,0,0,2,0,2
6420,0,0,2,0,2
6480,3,0,0,0,2
6540,0,0,0,0,2
6600,0,0,0,0,0
6660,3,0,0,0,0
6720,3,0,0,0,0
6780,3,0,0,0,0
6840,0,0,0,3,0
6900,3,0,0,0,0
6960,3,0,0,0,0
7020,0,0,3,0,0
7080,2,0,3,0,0
7140,2,0,0,0,0
7200,2,0,0,0,0
7260,2,0,0,0,0
7320,2,0,0,0,0
7380,2,0,0,0,0
7440,2,0,0,0,0
7500,2,0,0,0,0
7560,2,0,0,0,0
7620,2,0,0,0,0
7680,2,0,0,0,0
7740,0,2,0,0,0
7800,0,2,0,0,0
7860,2,0,0,0,0
